StreetAddress,MainAddress,X,Y
501 SPRING ST,"HOT SPRINGS, AR  71901-4251",-93.049485,34.511997
4614 VICTORIA DR,"FORT SMITH, AR  72904-6366",-94.379652,35.39827
6 WEBSTER PL,"TEXARKANA, AR  71854-2757",-94.034391,33.454938
41 CAMBRE CIR,"HOT SPRINGS VILLAGE, AR  71909-3420",-92.994018,34.676454
4123 RENEE CV,"JONESBORO, AR  72404-8531",-90.698736,35.786164
101 HILL ST,"FARMINGTON, AR  72730-2947",-94.247452,36.039768
611 S MADISON ST,"SILOAM SPRINGS, AR  72761-3639",-94.53772,36.179817
881 SIDNEY ST,"BATESVILLE, AR  72501-7016",-91.636785,35.770795
1310 PARKVIEW ST,"VAN BUREN, AR  72956-3656",-94.344383,35.447457
4909 N CEDAR ST,"N LITTLE ROCK, AR  72116-6620",-92.257207,34.800977
116 PARK ST,"MONTICELLO, AR  71655-3914",-91.797174,33.647005
2509 JANET,"BENTON, AR  72015-2667",-92.555831,34.589243
805 CHERRY LN,"WEST MEMPHIS, AR  72301-2462",-90.205133,35.154398
937 FOX CHASE RD,"HEBER SPRINGS, AR  72543-7929",-92.099233,35.506676
128 RAMBLEWOOD DR,"BLYTHEVILLE, AR  72315-7237",-89.894582,35.960148
818 LOCUST ST,"MOUNTAIN HOME, AR  72653-3622",-92.374059,36.341712
5623 WHISPERWOOD LN,"BAUXITE, AR  72011-9591",-92.467412,34.50802
621 5TH ST,"CONWAY, AR  72032-5613",-92.434417,35.084986
815 ARENA RD,"PERRY, AR  72125-7534",-92.801835,35.087739
804 N C ST,"ROGERS, AR  72756-2920",-94.112152,36.340435
3705 SCENIC DR,"PINE BLUFF, AR  71603-4330",-92.081103,34.191573
120 OUACHITA 378,"CAMDEN, AR  71701-9679",-92.796152,33.514677
2802 LYNN ST,"NEWPORT, AR  72112-4905",-91.24761,35.605069
12 RAYBURN DR,"BELLA VISTA, AR  72714-3815",-94.242935,36.462425
3758 BRIERWOOD ST,"SPRINGDALE, AR  72764-7289",-94.12827,36.15116
546 W MAIN ST,"TRUMANN, AR  72472-3013",-90.514799,35.672159
659 ASHLEY ROAD 13,"CROSSETT, AR  71635-8643",-92.014305,33.17216
426 COUNTY ROAD 111,"BONO, AR  72416-8116",-90.794572,35.851592
313 N 11TH ST,"ARKADELPHIA, AR  71923-4905",-93.060071,34.124565
18638 HARMON RD,"FAYETTEVILLE, AR  72704-8521",-94.277397,36.141426
770 S 6TH ST,"ASHDOWN, AR  71822-4016",-94.136673,33.665068
40 ROBERSON DR,"PLEASANT PLAINS, AR  72568-9778",-91.627482,35.556073
132 CHINQUEPIN DR,"MAGNOLIA, AR  71753-4506",-93.194669,33.281304
10 MIMOSA DR,"HARRISON, AR  72601-2304",-93.131889,36.239859
1402 HEATHER LN,"POCAHONTAS, AR  72455-4722",-90.980435,36.250609
399 L P MANN DR,"MARION, AR  72364-2311",-90.197409,35.201706
1807 BRIARWOOD CV,"BRYANT, AR  72022-2367",-92.503709,34.611675
133 CHERRY DR,"OSCEOLA, AR  72370-2201",-89.990997,35.702092
1203 W ATLANTA ST,"GREENWOOD, AR  72936-4416",-94.276257,35.213122
350 BLUFF DR,"FLORAL, AR  72534-9789",-91.777811,35.58615
1214 BAYER ST,"MALVERN, AR  72104-5704",-92.78513,34.356921
21 CHACOTO DR,"CHEROKEE VLG, AR  72529-2111",-91.534761,36.313983
2107 FORD ST,"PEA RIDGE, AR  72751-2429",-94.121254,36.461063
1426 E INDIGO CIR,"MESA, AZ  85203-3364",-111.79995,33.445628
2630 W AURORA DR,"TUCSON, AZ  85746-6306",-111.02332,32.136973
1338 E YUCCA ST,"PHOENIX, AZ  85020-1121",-112.052853,33.588902
400 FAIRWAY OAKS DR,"SEDONA, AZ  86351-8825",-111.773063,34.782485
3790 TAOS LN,"LK HAVASU CTY, AZ  86406-9101",-114.256809,34.456515
4604 N 65TH ST,"SCOTTSDALE, AZ  85251-1005",-111.9414,33.504
14612 N SHERWOOD DR,"FOUNTAIN HLS, AZ  85268-2139",-111.719407,33.618879
13202 N 98TH DR,"SUN CITY, AZ  85351-3271",-112.266745,33.604179
112 3RD ST,"HUACHUCA CITY, AZ  85616-9709",-110.332207,31.625687
2117 E LA JOLLA DR,"TEMPE, AZ  85282-5933",-111.895536,33.389115
2296 E PARKSIDE DR,"MOHAVE VALLEY, AZ  86440-8908",-114.569196,34.965787
4408 S SUSAN PL,"BULLHEAD CITY, AZ  86426-6322",-114.559112,35.028713
1237 E MINERAL RD,"GILBERT, AZ  85234-4461",-111.763218,33.357527
9650 SHADOW TRL,"FLAGSTAFF, AZ  86004-8620",-111.559018,35.279299
4721 W GERONIMO ST,"CHANDLER, AZ  85226-5312",-111.923368,33.292175
10440 W MEDLOCK DR,"GLENDALE, AZ  85307-4243",-112.284588,33.511231
20628 W ELLIOT RD,"BUCKEYE, AZ  85326-4100",-112.494308,33.350307
8936 W ACOMA DR,"PEORIA, AZ  85381-3713",-112.250193,33.617126
30642 N 41ST WAY,"CAVE CREEK, AZ  85331-5861",-111.992435,33.763498
1313 E OAK ST,"WINSLOW, AZ  86047-4437",-110.683857,35.023197
1612 NOTTINGHAM DR,"BULLHEAD CITY, AZ  86442-8024",-114.594188,35.045162
880 E STRATTON,"SHOW LOW, AZ  85901-6525",-110.032918,34.243793
835 N 6TH ST,"COTTONWOOD, AZ  86326-3724",-112.021662,34.746828
1817 S MAGNOLIA AVE,"YUMA, AZ  85364-5250",-114.642075,32.69453
812 S JOSHUA AVE,"PARKER, AZ  85344-5031",-114.291573,34.151593
139 OLEANDER RD,"MORENCI, AZ  85540-9508",-109.329969,33.05448
7225 E GRANDVIEW DR,"PRESCOTT VALLEY, AZ  86314-5151",-112.338315,34.612141
1305 BOLERO AVE,"SALINAS, CA  93906-3015",-121.637289,36.698629
203 PINE AVE,"PACIFIC GROVE, CA  93950-3601",-121.909263,36.615769
3 SOMMERSET RISE,"MONTEREY, CA  93940-4112",-121.917181,36.59702
50 AZUL CT,"HOLLISTER, CA  95023-3202",-121.42797,36.853848
1200 FETHERSTON WAY,"FELTON, CA  95018-9168",-122.087286,37.048513
7 7TH ST,"GREENFIELD, CA  93927-5658",-121.238908,36.319121
977 VIA TORNASOL,"APTOS, CA  95003-5644",-121.882957,36.956187
2761 SUBEC LN,"SOQUEL, CA  95073-2853",-121.938094,36.987073
531 CALIFORNIA AVE,"SANTA CRUZ, CA  95060-5910",-122.03545,36.962843
3440 BEAN CREEK RD,"SCOTTS VALLEY, CA  95066-2725",-122.00854,37.085281
1345 SKYVIEW DR,"SEASIDE, CA  93955-5621",-121.827197,36.604976
13973 FROST BLVD,"BOULDER CREEK, CA  95006-9589",-122.113651,37.128402
636 HERITAGE CT,"KING CITY, CA  93930-3722",-121.136742,36.215579
203 PUNTA DEL MONTE,"CARMEL VALLEY, CA  93924-9729",-121.726808,36.470391
149 EL ALTILLO,"LOS GATOS, CA  95032-1146",-121.986497,37.259316
4147 AMBERWOOD CIR,"PLEASANTON, CA  94588-4876",-121.913787,37.67561
2100 RAY DR,"BURLINGAME, CA  94010-5423",-122.38224,37.587219
4287 24TH ST,"SAN FRANCISCO, CA  94114-3616",-122.438135,37.750837
428 BONNIE ST,"DALY CITY, CA  94014-2117",-122.457514,37.695204
119 MURRAY CT,"REDWOOD CITY, CA  94061-3828",-122.221161,37.469035
59 GRANDWELL WAY,"SAN JOSE, CA  95138-1620",-121.791951,37.250323
5267 DARTMOUTH ST,"VENTURA, CA  93003-3929",-119.224318,34.273813
1107 OUTRIGGER LN,"FOSTER CITY, CA  94404-3810",-122.254159,37.54843
1272 PINE ST,"PALO ALTO, CA  94301-3458",-122.141236,37.44495
7157 SIERRA VIEW PL,"LOOMIS, CA  95650-9451",-121.168597,38.774743
818 CHENEY CT,"LODI, CA  95242-3507",-121.291514,38.124199
454 YELLOWSTONE ST,"WOODBRIDGE, CA  95258-9603",-121.310126,38.149223
2979 HEGAN LN,"CHICO, CA  95928-9510",-121.817943,39.694508
18966 ARROWHEAD DR,"LOCKEFORD, CA  95237-9508",-121.137104,38.156784
957 RICHLAND RD,"YUBA CITY, CA  95991-5740",-121.625891,39.118415
6846 6TH AVE,"RIO LINDA, CA  95673-2258",-121.450711,38.69265
2964 MUIR WAY,"SACRAMENTO, CA  95818-3654",-121.507102,38.552932
1735 CALLE CAMPANA,"ROSEVILLE, CA  95747-6879",-121.333412,38.775893
17829 MAPLE WAY,"GRASS VALLEY, CA  95945-7970",-120.968685,39.167935
540 OAK AVE,"DAVIS, CA  95616-3625",-121.752347,38.547422
11801 OREGON BAR CT,"GOLD RIVER, CA  95670-8322",-121.237969,38.625565
1590 MEADOW LARK LN,"TRACY, CA  95376-5334",-121.445015,37.73792
2213 DELAWARE AVE,"STOCKTON, CA  95204-4712",-121.331139,37.963869
5989 ROYAL POINT DR,"PARADISE, CA  95969-3750",-121.651631,39.756932
8045 CREEKSIDE LN,"GRANITE BAY, CA  95746-9337",-121.176674,38.751352
19419 NORTH CT,"SONORA, CA  95370-9722",-120.329635,37.975485
6415 MONTEVERDE LN,"CITRUS HTS, CA  95621-4316",-121.30327,38.683267
7 BESWICK CT,"PLEASANT HILL, CA  94523-3219",-122.071908,37.944042
4140 MARSHALL AVE,"CARMICHAEL, CA  95608-1933",-121.309075,38.639775
75 GILMORE RD,"RED BLUFF, CA  96080-3507",-122.22718,40.177505
1231 VAL DR,"MARYSVILLE, CA  95901-3523",-121.565754,39.162978
3643 EVERGREEN CIR,"LAKE ALMANOR, CA  96137-9715",-121.090634,40.274761
2712 KING EDWARD DR,"EL DORADO HLS, CA  95762-4110",-121.082963,38.694545
505 VIRGINIA ST,"GRIDLEY, CA  95948-2105",-121.695773,39.363991
5623 LA FIELD DR,"FAIR OAKS, CA  95628-3052",-121.300867,38.668323
7505 RED OAK RD,"CORNING, CA  96021",-122.2935,39.9208
264 JASON ST # 274,"MANTECA, CA  95336-3732",-121.214311,37.809825
605 N EAST A ST,"ALTURAS, CA  96101-3424",-120.539259,41.489663
6444 SADDLE TRL,"ANDERSON, CA  96007-9514",-122.437476,40.47303
256 MERRITT LN,"LINCOLN, CA  95648-9421",-121.281912,38.944699
147 SIERRA WAY,"QUINCY, CA  95971-9339",-120.902258,39.931437
3420 AHWAHNEE WAY,"COOL, CA  95614-9406",-120.989249,38.88783
4663 SHADE TREE WAY,"ANTELOPE, CA  95843-5836",-121.354727,38.725143
451 PLACER PL,"WOODLAND, CA  95695-5441",-121.7752,38.660945
14222 SUN FOREST DR,"PENN VALLEY, CA  95946-9130",-121.189406,39.244892
3753 ANTELOPE WAY,"ROCKLIN, CA  95677-1940",-121.234104,38.801393
20357 ARROWOOD ST,"BURNEY, CA  96013-4422",-121.654498,40.88057
9119 YOUNT CT,"ELK GROVE, CA  95624-2028",-121.361439,38.411748
1040 FINCH CT,"PLACERVILLE, CA  95667-6300",-120.808362,38.704995
103 FLYING CLOUD DR,"OROVILLE, CA  95965-3522",-121.56025,39.528584
11260 ROSEMARY DR,"AUBURN, CA  95603-5908",-121.072366,38.87076
2438 WALTON AVE,"SHASTA LAKE, CA  96019-9118",-122.381401,40.667416
1325 GONA CT,"WALNUT, CA  91789-3845",-117.846605,33.994948
1221 E GLADSTONE ST,"GLENDORA, CA  91740-5326",-117.839016,34.114175
3380 MANGUM ST,"BALDWIN PARK, CA  91706-3729",-117.987856,34.072198
9 VIA ENCARO,"RCHO STA MARG, CA  92688-3161",-117.622232,33.647927
6232 N MUSCATEL AVE,"SAN GABRIEL, CA  91775-2627",-118.076942,34.112215
932 S SHARONLEE DR,"WEST COVINA, CA  91790-4209",-117.932193,34.058397
2208 NEW YORK DR,"ALTADENA, CA  91001-3433",-118.106677,34.174897
2663 CHALET PL,"CHINO HILLS, CA  91709-4371",-117.746258,33.986392
811 N BUSHNELL AVE,"ALHAMBRA, CA  91801-1205",-118.141566,34.101601
3513 BROOKRIDGE RD,"DUARTE, CA  91010-1604",-117.931757,34.151697
665 FOREST AVE,"S PASADENA, CA  91030-2307",-118.164798,34.117351
591 TEDFORD WAY,"MONTEREY PARK, CA  91754-2522",-118.141613,34.05675
13715 HARVARD AVE,"CHINO, CA  91710-7109",-117.663617,34.004142
1138 SANDSPRINGS DR,"LA PUENTE, CA  91746-1725",-117.96601,34.053177
224 N ENCINITAS AVE,"MONROVIA, CA  91016-2208",-117.999665,34.155086
3211 MUSCATEL AVE,"ROSEMEAD, CA  91770-2743",-118.077548,34.066763
16654 E BYGROVE ST,"COVINA, CA  91722-1009",-117.92117,34.105371
1564 PALOMA ST,"PASADENA, CA  91104-4737",-118.118171,34.158891
3156 MARYBETH AVE,"EL MONTE, CA  91733-1033",-118.060691,34.066016
12224 HATTERAS ST,"N HOLLYWOOD, CA  91607-1706",-118.399582,34.175051
2976 SHEFFIELD RD,"SAN MARINO, CA  91108-3030",-118.092127,34.116767
237 N 3RD ST,"MONTEBELLO, CA  90640-4811",-118.102252,34.012082
351 SANTA ANA AVE,"LONG BEACH, CA  90803-1944",-118.126193,33.762104
1346 SUMMITRIDGE DR,"DIAMOND BAR, CA  91765-4342",-117.795521,33.998798
24543 JASMINE CT,"MORENO VALLEY, CA  92557-4122",-117.234125,33.963573
14890 ROCKRIDGE LN,"FONTANA, CA  92337-2608",-117.480099,34.037338
2229 BASELINE RD,"LA VERNE, CA  91750-2230",-117.761264,34.121963
418 W 5TH ST,"ONTARIO, CA  91762-1637",-117.655399,34.081828
680 W 11TH ST,"CLAREMONT, CA  91711-3746",-117.726343,34.104135
1327 N 1ST AVE,"UPLAND, CA  91786-3221",-117.650081,34.111706
9623 PRADERA AVE,"MONTCLAIR, CA  91763-2116",-117.709882,34.079155
7475 JOAN AVE,"RIVERSIDE, CA  92509-3428",-117.446689,34.010682
21906 ELAINE AVE,"HAWAIIAN GDNS, CA  90716-1412",-118.0761,33.829279
623 ARBOLADA DR,"ARCADIA, CA  91006-2115",-118.052302,34.152229
4025 BALLINA DR,"ENCINO, CA  91436-3624",-118.490796,34.143862
12480 GOLDSTONE DR,"VICTORVILLE, CA  92392-8696",-117.368428,34.477182
8909 W 24TH ST,"LOS ANGELES, CA  90034-2009",-118.38551,34.0394
39840 TANAGER TRL,"MURRIETA, CA  92562-4651",-117.204708,33.588251
17752 NEARBANK DR,"ROWLAND HEIGHTS, CA  91748-4240",-117.919971,33.980204
22342 SPYDER LN,"PALO CEDRO, CA  96073-9538",-122.22607,40.54892
355 N ASPEN AVE,"RIALTO, CA  92376-5442",-117.397849,34.10423
11851 MANANA,"MORONGO VLY, CA  92256-9626",-116.593369,34.041987
3013 ABBOTT ST,"POMONA, CA  91767-1721",-117.747804,34.101556
2330 E QUINCY AVE,"ORANGE, CA  92867-6153",-117.828414,33.805683
1435 ALTA MESA WAY,"BREA, CA  92821-2064",-117.914766,33.941936
22582 DEMASIA,"MISSION VIEJO, CA  92691-1508",-117.664072,33.634504
6769 PEACH PL,"RCH CUCAMONGA, CA  91739-1514",-117.531888,34.131107
7112 E HURLBUT AVE,"SEBASTOPOL, CA  95472-2668",-122.829915,38.413017
517 SAN LUCAS CT,"SAN DIMAS, CA  91773-3309",-117.808406,34.100433
315 STURTEVANT DR,"SIERRA MADRE, CA  91024-1303",-118.046174,34.168976
9747 DANUBE AVE,"NORTH HILLS, CA  91343-2009",-118.475395,34.247762
24 FACULTY CT,"THOUSAND OAKS, CA  91360-2934",-118.875415,34.220521
10419 REXFORD CT,"CYPRESS, CA  90630-4633",-118.029041,33.810917
5232 MCCLINTOCK AVE,"TEMPLE CITY, CA  91780-3558",-118.033574,34.099458
721 E HANKS ST,"AZUSA, CA  91702-3809",-117.895257,34.125666
23445 CARLOW RD,"TORRANCE, CA  90505-4557",-118.361849,33.813044
12989 W MONTANA DR,"LAKEWOOD, CO  80228-4244",-105.14465,39.686211
9725 W FRIEND PL,"LITTLETON, CO  80128-7502",-105.10733,39.572716
801 COOK ST,"DENVER, CO  80206-3954",-104.947613,39.729294
496 OAKLAND ST,"AURORA, CO  80010-4746",-104.850339,39.723341
525 BOWEN ST,"LONGMONT, CO  80501-5333",-105.112175,40.168444
4529 FIG ST,"GOLDEN, CO  80403-7222",-105.159092,39.778418
2163 KALMIA CIR,"BOULDER, CO  80304-1912",-105.269479,40.039206
254 ASPENWOOD LN,"EVERGREEN, CO  80439-4616",-105.408792,39.674408
10104 SAINT PAUL DR,"THORNTON, CO  80229-2772",-104.950785,39.879412
8772 DOVER CIR,"WESTMINSTER, CO  80005-1549",-105.09575,39.855554
1931 LEICESTER WAY,"FORT COLLINS, CO  80526-1204",-105.11626,40.562512
1382 NISSEN CT,"BROOMFIELD, CO  80020-1223",-105.067909,39.937216
5173 ALLISON ST,"ARVADA, CO  80002-4315",-105.088235,39.789748
1304 BRENTWOOD DR,"FORT COLLINS, CO  80521-4304",-105.106865,40.570019
31 BUCKAROO RD,"BAILEY, CO  80421-1005",-105.461377,39.488331
414 E RAINTREE CT,"LOUISVILLE, CO  80027-2125",-105.137568,39.96902
13198 SABLE BLVD,"BRIGHTON, CO  80601-7118",-104.817405,39.934843
209 YELLOWFIELD WAY,"ERIE, CO  80516-6816",-105.076041,40.041029
7735 S POPLAR WAY E,"ENGLEWOOD, CO  80112-2530",-104.906725,39.575883
5358 PRESERVE PKWY N,"GREENWOOD VLG, CO  80121-2150",-104.925023,39.612338
485 W WOODMEN RD,"COLORADO SPGS, CO  80919-2507",-104.835596,38.939637
6985 W 48TH AVE,"WHEAT RIDGE, CO  80033-3540",-105.074061,39.784449
27252 RIDGE TRL,"CONIFER, CO  80433-1100",-105.312399,39.541145
873 TRAIL CREEK RD,"LAKE GEORGE, CO  80827-9070",-105.318744,38.998207
189 STAGECOACH TRL,"ELIZABETH, CO  80107-8536",-104.659251,39.412242
12187 W CHENANGO DR,"MORRISON, CO  80465-2012",-105.134441,39.627475
3A HOBSON ST,"DANBURY, CT  06810-6431",-73.471134,41.387916
531 ORANGE ST APT 2,"NEW HAVEN, CT  06511-3818",-72.917126,41.31485
54 ADDISON POND RD,"GLASTONBURY, CT  06033-1663",-72.578182,41.721739
12 BITTERSWEET LN,"IVORYTON, CT  06442-1027",-72.439186,41.352633
76 GRETA ST,"WEST HAVEN, CT  06516-3372",-72.969106,41.276624
93 HIGHLAND PARK RD,"NORTH HAVEN, CT  06473-1253",-72.874271,41.410114
35 WILLIAM ST,"GREENWICH, CT  06830-5608",-73.628175,41.034349
83 CANDLEWOOD DR,"SOUTH WINDSOR, CT  06074-2612",-72.575632,41.824223
12 TAMMIE ANN DR,"EAST HAMPTON, CT  06424-1357",-72.503192,41.636266
5 DOGWOOD DR,"NEW MILFORD, CT  06776-4649",-73.407712,41.528878
44 OAKCREST CIR,"WATERBURY, CT  06708-1868",-73.08161,41.562434
555 WASHINGTON RD,"ENFIELD, CT  06082-2135",-72.561275,42.031261
60 BARSTOW LN,"TOLLAND, CT  06084-2527",-72.36941,41.896902
10 DEERWOOD LN,"WOODBURY, CT  06798-2629",-73.237217,41.559013
62 HART ST,"BURLINGTON, CT  06013-2225",-72.959229,41.718312
36 KINGS HWY,"SHELTON, CT  06484-2929",-73.109612,41.314254
24 RED MOUNTAIN LN,"AVON, CT  06001-3457",-72.875264,41.8075
33 HILLTOP DR,"SOUTHINGTON, CT  06489-2419",-72.885872,41.608391
43 LANSDOWNE LN,"CHESHIRE, CT  06410-1539",-72.9087,41.536952
30 HARRISON AVE,"NEW CANAAN, CT  06840-5801",-73.489464,41.139911
162 BERRIAN RD,"STAMFORD, CT  06905-2414",-73.538712,41.092964
1 SUGAR MAPLE LN,"RIDGEFIELD, CT  06877-3347",-73.490844,41.301077
25 COOLIDGE RD,"WEST HARTFORD, CT  06117-2319",-72.75807,41.784645
2 ROBINSON RD APT J,"ROCKY HILL, CT  06067-3233",-72.682933,41.640492
34 STONECROP RD,"NORWALK, CT  06851-1813",-73.394971,41.153364
49 MURPHY LN,"SOUTHBURY, CT  06488-2760",-73.192958,41.455118
67 MINUTEMAN DR,"MILFORD, CT  06460-6636",-73.030328,41.2171
30 HAYSTACK RD,"MANCHESTER, CT  06040-6763",-72.500202,41.754173
65 N STOWE PL,"TRUMBULL, CT  06611-5036",-73.159723,41.252147
97 FAIRLAWN ST,"BRISTOL, CT  06010-3626",-72.93535,41.689914
164 BUCKEYE RD,"GROTON, CT  06340-3044",-72.065739,41.376734
21 FARM VIEW RD,"MONROE, CT  06468-1615",-73.238405,41.307614
465 SKOKORAT RD,"BEACON FALLS, CT  06403-1412",-73.042875,41.430925
49 LILAC AVE,"HAMDEN, CT  06517-2711",-72.917087,41.344608
62 COREY LN,"NIANTIC, CT  06357-1335",-72.224906,41.321653
210 CROSSWOODS RD,"BRANFORD, CT  06405-5804",-72.842805,41.272991
9 ROLAND DR,"DARIEN, CT  06820-3514",-73.470499,41.083711
61 BATHCRESCENT LN,"BLOOMFIELD, CT  06002-2156",-72.774809,41.808767
